package,dependency,kind,manifest
arcweft,arcweft-adt,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-core,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-dialogue,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-id,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-memory,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-need,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-presentation,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-ref,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-source,normal,crates/arcweft/Cargo.toml
arcweft-adapter-context,arcweft-lang-sema,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,arcweft-rust-abi,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,serde,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,serde_json,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,thiserror,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,toml,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-desktop,arcweft-adapter-context,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-core,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-desktop-contract,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-desktop-host,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-desktop-native,development,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-host-adapter,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-lang-sema,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-rust-abi,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,serde_json,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-agent-mcp,arcweft-agent-protocol,normal,crates/arcweft-agent-mcp/Cargo.toml
arcweft-agent-mcp,serde,normal,crates/arcweft-agent-mcp/Cargo.toml
arcweft-agent-mcp,serde_json,normal,crates/arcweft-agent-mcp/Cargo.toml
arcweft-agent-mcp-client,arcweft-agent-mcp,normal,crates/arcweft-agent-mcp-client/Cargo.toml
arcweft-agent-mcp-client,arcweft-agent-protocol,normal,crates/arcweft-agent-mcp-client/Cargo.toml
arcweft-agent-mcp-client,arcweft-agent-runner,normal,crates/arcweft-agent-mcp-client/Cargo.toml
arcweft-agent-mcp-client,serde,normal,crates/arcweft-agent-mcp-client/Cargo.toml
arcweft-agent-mcp-client,serde_json,normal,crates/arcweft-agent-mcp-client/Cargo.toml
arcweft-agent-mcp-client,thiserror,normal,crates/arcweft-agent-mcp-client/Cargo.toml
arcweft-agent-protocol,arcweft-core,normal,crates/arcweft-agent-protocol/Cargo.toml
arcweft-agent-protocol,arcweft-render-text,normal,crates/arcweft-agent-protocol/Cargo.toml
arcweft-agent-protocol,base64,normal,crates/arcweft-agent-protocol/Cargo.toml
arcweft-agent-protocol,serde,normal,crates/arcweft-agent-protocol/Cargo.toml
arcweft-agent-protocol,serde_json,normal,crates/arcweft-agent-protocol/Cargo.toml
arcweft-agent-protocol,thiserror,normal,crates/arcweft-agent-protocol/Cargo.toml
