name,kind,path,line,crate_count
Action,struct,crates/arcweft-interaction-model/src/action.rs,48,2
Action,struct,crates/arcweft-presentation/src/input.rs,104,2
ActionBatch,struct,crates/arcweft-interaction-model/src/action.rs,76,2
ActionBatch,struct,crates/arcweft-presentation/src/input.rs,121,2
ActionTarget,enum,crates/arcweft-interaction-model/src/action.rs,29,2
ActionTarget,enum,crates/arcweft-presentation/src/input.rs,113,2
Bytes,struct,crates/arcweft-data/src/value.rs,28,2
Bytes,struct,crates/arcweft-memory/src/lib.rs,9,2
CallableKind,enum,crates/arcweft-lang-sema/src/effect_model.rs,16,2
CallableKind,enum,crates/arcweft-lang-syntax/src/ast/items.rs,525,2
CompiledPureF32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,373,2
CompiledPureF32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,93,2
CompiledPureF64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,382,2
CompiledPureF64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,94,2
CompiledPureI128BatchInputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,274,2
CompiledPureI128BatchInputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,87,2
CompiledPureI16Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,293,2
CompiledPureI16Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,85,2
CompiledPureI32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,306,2
CompiledPureI32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,86,2
CompiledPureI64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,74,2
CompiledPureI64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,83,2
CompiledPureI8Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,283,2
CompiledPureI8Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,84,2
CompiledPureU128BatchInputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,364,2
CompiledPureU128BatchInputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,92,2
CompiledPureU16Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,339,2
CompiledPureU16Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,90,2
CompiledPureU32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,319,2
CompiledPureU32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,88,2
CompiledPureU64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,351,2
CompiledPureU64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,91,2
CompiledPureU8Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,329,2
CompiledPureU8Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,89,2
CraneliftPureFunctionBackend,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,50,2
CraneliftPureFunctionBackend,struct,crates/arcweft-runtime-accelerator/src/lib.rs,81,2
DialogueContent,struct,crates/arcweft-dialogue/src/lib.rs,46,2
DialogueContent,struct,crates/arcweft-lang-syntax/src/ast/dialogue.rs,9,2
DialogueTag,enum,crates/arcweft-dialogue/src/lib.rs,59,2
DialogueTag,struct,crates/arcweft-lang-syntax/src/ast/dialogue.rs,32,2
EffectCapability,struct,crates/arcweft-agent-protocol/src/artifact.rs,10,2
EffectCapability,struct,crates/arcweft-lang-sema/src/env.rs,61,2
EntityStore,struct,crates/arcweft-adt/src/lib.rs,307,2
EntityStore,struct,crates/arcweft-ui/src/entity.rs,35,2
FragmentKind,enum,crates/arcweft-lang-syntax/src/parser/fragment.rs,18,2
FragmentKind,enum,crates/arcweft-ui/src/fragment.rs,66,2
HostEvent,enum,crates/arcweft-interaction-model/src/audio.rs,75,2
HostEvent,struct,crates/arcweft-presentation/src/input.rs,128,2
HostEventBatch,struct,crates/arcweft-interaction-model/src/audio.rs,95,2
HostEventBatch,struct,crates/arcweft-presentation/src/input.rs,146,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,267,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,846,2
HoverHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,1046,2
HoverHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,424,2
HoverHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,526,2
IdentifierError,struct,crates/arcweft-agent-protocol/src/ids.rs,7,2
IdentifierError,struct,crates/arcweft-interaction-model/src/id.rs,58,2
InputEpoch,struct,crates/arcweft-interaction-model/src/input.rs,12,2
InputEpoch,struct,crates/arcweft-presentation/src/input.rs,14,2
InputEventKind,enum,crates/arcweft-dialogue/src/lib.rs,114,3
InputEventKind,enum,crates/arcweft-interaction-model/src/input.rs,108,3
InputEventKind,enum,crates/arcweft-presentation/src/input.rs,93,3
InteractionTarget,struct,crates/arcweft-interaction-model/src/input.rs,48,2
InteractionTarget,struct,crates/arcweft-presentation/src/input.rs,8,2
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,262,2
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,841,2
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,1041,2
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,1147,2
KeywordHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,351,2
KeywordHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,419,2
KeywordHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,521,2
LayerTree,type,crates/arcweft-adt/src/lib.rs,1060,2
LayerTree,struct,crates/arcweft-presentation/src/layer.rs,12,2
