name,kind,path,line,crate_count
Action,struct,crates/arcweft-interaction-model/src/action.rs,48,2
Action,struct,crates/arcweft-presentation/src/input.rs,101,2
ActionBatch,struct,crates/arcweft-interaction-model/src/action.rs,76,2
ActionBatch,struct,crates/arcweft-presentation/src/input.rs,118,2
ActionTarget,enum,crates/arcweft-interaction-model/src/action.rs,29,2
ActionTarget,enum,crates/arcweft-presentation/src/input.rs,110,2
AgentBudget,struct,crates/arcweft-core/src/entry/roles.rs,16,2
AgentBudget,struct,crates/arcweft-lang-sema/src/entry.rs,194,2
BuiltReleaseTrustFixture,struct,crates/arcweft-cli/tests/support/release_trust_fixture.rs,42,2
BuiltReleaseTrustFixture,struct,crates/arcweft-project-loader/tests/support/release_trust_fixture.rs,57,2
Bytes,struct,crates/arcweft-data/src/value.rs,28,2
Bytes,struct,crates/arcweft-memory/src/lib.rs,9,2
CallableId,struct,crates/arcweft-agent-protocol/src/ids.rs,36,2
CallableId,struct,crates/arcweft-lang-sema/src/effect_model.rs,14,2
CanonicalEncoder,struct,crates/arcweft-lang-sema/src/callable/digest.rs,86,3
CanonicalEncoder,struct,crates/arcweft-presentation/src/fx/canonical.rs,49,3
CanonicalEncoder,struct,crates/arcweft-resource-model/src/canonical.rs,29,3
CaptureRequest,struct,crates/arcweft-agent-protocol/src/protocol.rs,185,2
CaptureRequest,struct,crates/arcweft-render-wgpu/src/offscreen.rs,158,2
CaptureScope,enum,crates/arcweft-layout/src/lib.rs,279,2
CaptureScope,enum,crates/arcweft-render-wgpu/src/offscreen.rs,140,2
CaptureTarget,enum,crates/arcweft-agent-protocol/src/protocol.rs,168,2
CaptureTarget,enum,crates/arcweft-desktop-native/src/persistent_grants.rs,158,2
CompiledPureF32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,384,2
CompiledPureF32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,96,2
CompiledPureF64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,393,2
CompiledPureF64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,97,2
CompiledPureI128BatchInputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,285,2
CompiledPureI128BatchInputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,90,2
CompiledPureI16Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,304,2
CompiledPureI16Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,88,2
CompiledPureI32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,317,2
CompiledPureI32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,89,2
CompiledPureI64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,85,2
CompiledPureI64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,86,2
CompiledPureI8Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,294,2
CompiledPureI8Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,87,2
CompiledPureU128BatchInputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,375,2
CompiledPureU128BatchInputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,95,2
CompiledPureU16Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,350,2
CompiledPureU16Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,93,2
CompiledPureU32Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,330,2
CompiledPureU32Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,91,2
CompiledPureU64Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,362,2
CompiledPureU64Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,94,2
CompiledPureU8Inputs,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,340,2
CompiledPureU8Inputs,struct,crates/arcweft-runtime-accelerator/src/lib.rs,92,2
ContentPlacement,enum,crates/arcweft-bundle/src/container.rs,84,2
ContentPlacement,enum,crates/arcweft-manifest-model/src/schema.rs,220,2
ContentResidency,enum,crates/arcweft-bundle/src/container.rs,76,2
ContentResidency,enum,crates/arcweft-manifest-model/src/schema.rs,210,2
CraneliftPureFunctionBackend,struct,crates/arcweft-lang-jit-cranelift/src/lib.rs,61,2
CraneliftPureFunctionBackend,struct,crates/arcweft-runtime-accelerator/src/lib.rs,84,2
DecodeBudget,struct,crates/arcweft-data/src/limits.rs,42,2
DecodeBudget,struct,crates/arcweft-resource-manifest/src/budget.rs,11,2
DigestParseError,enum,crates/arcweft-character/src/presentation_name/digest.rs,17,2
DigestParseError,enum,crates/arcweft-manifest-model/src/digest.rs,24,2
EffectCapability,struct,crates/arcweft-agent-protocol/src/artifact.rs,16,2
EffectCapability,struct,crates/arcweft-lang-sema/src/env/effects.rs,3,2
EnterKeyHint,enum,crates/arcweft-bundle/src/resource_codec/view/model/input.rs,124,2
EnterKeyHint,enum,crates/arcweft-presentation/src/text_input.rs,347,2
EntityStore,struct,crates/arcweft-adt/src/lib.rs,307,2
EntityStore,struct,crates/arcweft-view/src/entity.rs,35,2
FragmentKind,trait,crates/arcweft-lang-syntax/src/parser/unbound_fragment.rs,99,2
FragmentKind,enum,crates/arcweft-view/src/fragment.rs,55,2
HostEvent,enum,crates/arcweft-interaction-model/src/audio.rs,871,2
HostEvent,struct,crates/arcweft-presentation/src/input.rs,125,2
HostEventBatch,struct,crates/arcweft-interaction-model/src/audio.rs,891,2
HostEventBatch,struct,crates/arcweft-presentation/src/input.rs,143,2
IdentifierError,enum,crates/arcweft-agent-protocol/src/ids.rs,10,3
IdentifierError,struct,crates/arcweft-interaction-model/src/id.rs,58,3
IdentifierError,struct,crates/arcweft-manifest-model/src/identity.rs,9,3
InputEpoch,struct,crates/arcweft-interaction-model/src/input.rs,12,2
InputEpoch,struct,crates/arcweft-presentation/src/input.rs,16,2
InputEventKind,enum,crates/arcweft-interaction-model/src/input.rs,108,2
InputEventKind,enum,crates/arcweft-presentation/src/input.rs,89,2
InteractionTarget,struct,crates/arcweft-interaction-model/src/input.rs,48,2
InteractionTarget,struct,crates/arcweft-presentation/src/input.rs,10,2
JsonPath,struct,crates/arcweft-adapter-metadata/src/strict_json.rs,25,2
