"path","owner","classification","bytes","physical_lines","base_physical_lines","growth","embedded_test_lines","workspace_fan_in","workspace_fan_out","development_workspace_fan_in","development_workspace_fan_out"
"crates/arcweft-agent-repl/src/compile.rs","arcweft-agent-repl","production","9926","277","276","1","41","3","18","0","0"
"crates/arcweft-cli/src/app/agent/native/repl.rs","arcweft-cli","production","52064","1572","1572","0","0","0","53","0","3"
"crates/arcweft-cli/src/app/agent/rag/source_index.rs","arcweft-cli","production","55045","1500","1500","0","0","0","53","0","3"
"crates/arcweft-cli/src/app/agent/script.rs","arcweft-cli","production","79726","2272","2266","6","77","0","53","0","3"
"crates/arcweft-cli/src/app/bundle.rs","arcweft-cli","production","43074","1191","1191","0","0","0","53","0","3"
"crates/arcweft-cli/src/app/jit.rs","arcweft-cli","production","58202","1630","1628","2","0","0","53","0","3"
"crates/arcweft-cli/src/app/project_commands.rs","arcweft-cli","production","89596","2495","2488","7","0","0","53","0","3"
"crates/arcweft-cli/src/app/project_commands/tests.rs","arcweft-cli","test","19342","530","529","1","0","0","53","0","3"
"crates/arcweft-cli/src/app/project.rs","arcweft-cli","production","53672","1490","1486","4","55","0","53","0","3"
"crates/arcweft-cli/src/app/runtime_artifact.rs","arcweft-cli","production","2380","65","65","0","0","0","53","0","3"
"crates/arcweft-cli/src/app/runtime/profile_cmd.rs","arcweft-cli","production","4613","114","112","2","0","0","53","0","3"
"crates/arcweft-cli/src/app/runtime/profile.rs","arcweft-cli","production","10087","269","270","-1","0","0","53","0","3"
"crates/arcweft-cli/src/app/runtime/script_bench/mod.rs","arcweft-cli","production","4393","117","115","2","0","0","53","0","3"
"crates/arcweft-cli/src/app/runtime/script_test.rs","arcweft-cli","test","7625","227","227","0","0","0","53","0","3"
"crates/arcweft-cli/src/app/verify.rs","arcweft-cli","production","16113","467","465","2","21","0","53","0","3"
"crates/arcweft-compiler/src/agent.rs","arcweft-compiler","production","14336","362","346","16","0","3","23","1","5"
"crates/arcweft-compiler/src/incremental.rs","arcweft-compiler","production","11390","285","279","6","81","3","23","1","5"
"crates/arcweft-compiler/src/lower/project_instances/tests.rs","arcweft-compiler","test","24788","669","668","1","0","3","23","1","5"
"crates/arcweft-compiler/src/project.rs","arcweft-compiler","production","60473","1665","1723","-58","0","3","23","1","5"
"crates/arcweft-compiler/src/project/analysis.rs","arcweft-compiler","production","5333","162","0","162","0","3","23","1","5"
"crates/arcweft-compiler/src/project/entry_tests.rs","arcweft-compiler","test","36609","1164","1148","16","0","3","23","1","5"
"crates/arcweft-compiler/src/project/tests.rs","arcweft-compiler","test","55654","1615","1572","43","0","3","23","1","5"
"crates/arcweft-compiler/src/project/tests/analysis_lease.rs","arcweft-compiler","test","4630","117","0","117","0","3","23","1","5"
"crates/arcweft-compiler/src/source.rs","arcweft-compiler","production","7776","233","234","-1","87","3","23","1","5"
"crates/arcweft-compiler/src/types.rs","arcweft-compiler","production","2115","54","60","-6","0","3","23","1","5"
"crates/arcweft-compiler/tests/assertions.rs","arcweft-compiler","test","17917","518","501","17","0","3","23","1","5"
"crates/arcweft-compiler/tests/dialogue_profile_admission.rs","arcweft-compiler","test","11839","358","355","3","0","3","23","1","5"
"crates/arcweft-compiler/tests/evaluated_effects.rs","arcweft-compiler","test","40822","1132","1098","34","0","3","23","1","5"
"crates/arcweft-compiler/tests/project_cache_transaction.rs","arcweft-compiler","test","62822","1754","1693","61","0","3","23","1","5"
"crates/arcweft-compiler/tests/project_function_instances.rs","arcweft-compiler","test","16691","485","485","0","0","3","23","1","5"
"crates/arcweft-lsp/src/diagnostics.rs","arcweft-lsp","production","50394","1353","1351","2","933","0","23","1","3"
"crates/arcweft-lsp/src/features/character_definition.rs","arcweft-lsp","production","23121","585","585","0","0","0","23","1","3"
"crates/arcweft-lsp/src/features/dialogue_lines.rs","arcweft-lsp","production","14022","449","449","0","0","0","23","1","3"
"crates/arcweft-lsp/src/features/entry_roles.rs","arcweft-lsp","production","22333","619","619","0","0","0","23","1","3"
"crates/arcweft-lsp/src/features/entry_roles/presentation.rs","arcweft-lsp","production","15431","452","452","0","0","0","23","1","3"
"crates/arcweft-lsp/src/features/entry_roles/rename.rs","arcweft-lsp","production","7278","205","205","0","0","0","23","1","3"
"crates/arcweft-lsp/src/features/hover.rs","arcweft-lsp","production","32246","906","906","0","382","0","23","1","3"
"crates/arcweft-lsp/src/features/inlay.rs","arcweft-lsp","production","8920","275","275","0","0","0","23","1","3"
"crates/arcweft-lsp/src/features/nominal_types.rs","arcweft-lsp","production","59642","1705","1705","0","803","0","23","1","3"
"crates/arcweft-lsp/src/profiles/accepted_project.rs","arcweft-lsp","production","42156","1237","1270","-33","0","0","23","1","3"
"crates/arcweft-lsp/src/profiles/accepted_project/stamp_test_support.rs","arcweft-lsp","production","2009","57","60","-3","0","0","23","1","3"
"crates/arcweft-lsp/src/profiles/accepted_project/tests.rs","arcweft-lsp","test","14486","399","402","-3","0","0","23","1","3"
"crates/arcweft-lsp/src/profiles/accepted_project/tests/production_limits.rs","arcweft-lsp","test","5063","134","138","-4","0","0","23","1","3"
"crates/arcweft-lsp/src/profiles/environment.rs","arcweft-lsp","production","16679","469","473","-4","0","0","23","1","3"
"crates/arcweft-lsp/src/profiles/state.rs","arcweft-lsp","production","17372","541","599","-58","0","0","23","1","3"
