package,manifest,workspace_fan_in,workspace_fan_out,development_workspace_fan_in,development_workspace_fan_out
arcweft,crates/arcweft/Cargo.toml,0,11,0,0
arcweft-adapter-context,crates/arcweft-adapter-context/Cargo.toml,8,1,1,0
arcweft-adapter-desktop,crates/arcweft-adapter-desktop/Cargo.toml,2,6,0,1
arcweft-adapter-metadata,crates/arcweft-adapter-metadata/Cargo.toml,1,1,1,0
arcweft-adapter-sema,crates/arcweft-adapter-sema/Cargo.toml,3,6,1,0
arcweft-adt,crates/arcweft-adt/Cargo.toml,1,0,0,0
arcweft-agent-mcp,crates/arcweft-agent-mcp/Cargo.toml,2,5,0,1
arcweft-agent-mcp-client,crates/arcweft-agent-mcp-client/Cargo.toml,1,3,0,0
arcweft-agent-policy,crates/arcweft-agent-policy/Cargo.toml,2,3,0,0
arcweft-agent-protocol,crates/arcweft-agent-protocol/Cargo.toml,11,3,0,6
arcweft-agent-repl,crates/arcweft-agent-repl/Cargo.toml,3,18,0,0
arcweft-agent-runner,crates/arcweft-agent-runner/Cargo.toml,4,4,1,3
arcweft-audio-codec,crates/arcweft-audio-codec/Cargo.toml,1,1,0,0
arcweft-audio-core,crates/arcweft-audio-core/Cargo.toml,5,1,0,0
arcweft-audio-device-cpal,crates/arcweft-audio-device-cpal/Cargo.toml,1,3,0,0
arcweft-audio-mixer,crates/arcweft-audio-mixer/Cargo.toml,1,2,0,0
arcweft-browser-bench,crates/arcweft-browser-bench/Cargo.toml,0,2,0,0
arcweft-bundle,crates/arcweft-bundle/Cargo.toml,10,16,0,3
arcweft-character,crates/arcweft-character/Cargo.toml,17,2,4,0
arcweft-character-psd,crates/arcweft-character-psd/Cargo.toml,1,1,0,0
arcweft-character-view,crates/arcweft-character-view/Cargo.toml,2,4,0,0
arcweft-cli,crates/arcweft-cli/Cargo.toml,0,53,0,3
arcweft-codec-arrow,crates/arcweft-codec-arrow/Cargo.toml,1,1,0,0
arcweft-codec-avro,crates/arcweft-codec-avro/Cargo.toml,0,1,0,0
arcweft-codec-binary,crates/arcweft-codec-binary/Cargo.toml,1,2,1,0
arcweft-codec-cbor,crates/arcweft-codec-cbor/Cargo.toml,1,1,1,0
