package,dependency,kind,manifest
arcweft,arcweft-adt,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-character,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-character-view,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-core,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-dialogue,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-id,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-memory,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-need,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-presentation,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-ref,normal,crates/arcweft/Cargo.toml
arcweft,arcweft-source,normal,crates/arcweft/Cargo.toml
arcweft-adapter-context,arcweft-lang-hir,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,arcweft-lang-sema,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,arcweft-lang-syntax,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,arcweft-rust-abi,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,arcweft-source,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,serde,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,serde_json,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,thiserror,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-context,toml,normal,crates/arcweft-adapter-context/Cargo.toml
arcweft-adapter-desktop,arcweft-adapter-context,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-core,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-desktop-contract,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-desktop-host,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-desktop-native,development,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-host-adapter,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,arcweft-rust-abi,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-adapter-desktop,serde_json,normal,crates/arcweft-adapter-desktop/Cargo.toml
arcweft-agent-mcp,arcweft-agent-policy,normal,crates/arcweft-agent-mcp/Cargo.toml
arcweft-agent-mcp,arcweft-agent-protocol,normal,crates/arcweft-agent-mcp/Cargo.toml
arcweft-agent-mcp,arcweft-agent-repl,normal,crates/arcweft-agent-mcp/Cargo.toml
arcweft-agent-mcp,arcweft-content-policy,normal,crates/arcweft-agent-mcp/Cargo.toml
arcweft-agent-mcp,arcweft-lang-sema,development,crates/arcweft-agent-mcp/Cargo.toml
