path,bytes,physical_lines,code_lines,classification,is_rust,is_test,is_generated,has_embedded_tests
.arcweft-local/character-psd/zundamon-v3.2/readme.txt,1798,38,29,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/ACCEPTANCE_MATRIX.md,2067,14,13,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/MANIFEST.txt,1829,36,36,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/README.md,3740,46,37,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/VALIDATION.md,1537,29,23,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/00-unified-direction.md,2726,69,51,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/01-current-state-and-refactor-targets.md,2911,48,30,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/02-awfb-awbc-product-artifact.md,4438,153,126,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/03-code-generational-hot-swap.md,4294,121,87,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/04-full-script-aot-jit-and-effect-inference.md,3553,114,85,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/05-persistent-compiler-query-cache.md,3684,118,91,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/06-windowed-native-live-patch.md,3108,100,72,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/07-patch-target-signature-materialization.md,3182,94,70,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/08-resource-section-codecs.md,2360,78,59,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/09-layout-coordinate-units-capture.md,4874,120,91,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/10-agent-repl-runtime-tiers.md,1918,68,53,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/11-implementation-roadmap.md,4747,184,126,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/docs/12-unresolved-or-later-requirements.md,1973,48,27,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/input-requirements/2026-06-24-awbc-executable-compact-table-design.md,5145,120,97,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/input-requirements/2026-06-24-code-generational-hot-swap-design.md,4311,104,84,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/input-requirements/2026-06-24-layout-fit-mode-coordinate-contract.md,2143,46,37,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/input-requirements/2026-06-24-layout-units-text-fitting-and-shared-capture.md,2047,45,36,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/input-requirements/2026-06-24-patch-target-manifest-signature-design.md,4955,117,93,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/input-requirements/2026-06-24-persistent-compiler-query-cache-design.md,5663,128,104,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/input-requirements/2026-06-24-product-resource-section-codecs-design.md,4803,112,88,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/input-requirements/2026-06-24-windowed-native-live-patch-design.md,5088,118,94,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/patch-sketches/0001-remove-lazy-eager-use-and-optimization-surface.md,939,27,20,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/patch-sketches/0002-awbc-product-structured-bytecode-removal.md,719,23,16,text,false,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/crates/arcweft-bundle/src/patch_materialization.rs,3894,133,115,production,true,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/crates/arcweft-bundle/src/resource_codec.rs,4301,148,132,production,true,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/crates/arcweft-core/src/awbc/executable.rs,13868,471,436,production,true,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/crates/arcweft-layout/src/lib.rs,10055,343,314,production,true,false,false,true
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/crates/arcweft-project/src/persistent_object.rs,5627,190,169,production,true,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/crates/arcweft-runtime-codegen/src/lib.rs,4708,164,148,production,true,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/crates/arcweft-runtime-driver/src/generation_runtime.rs,7425,248,205,production,true,false,false,true
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/crates/arcweft-runtime-driver/src/windowed_patch_model.rs,3209,117,103,production,true,false,false,false
.arcweft-local/integrated-execution-design-2026-06-24/arcweft-integrated-execution-design-2026-06-24/reference-impl/tests/generation_runtime_tests.rs,845,18,6,test,true,true,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/README.md,334,8,7,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-capture-artifacts/exact-native-golden.environment.json,4668,90,90,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-capture-refresh/exact-native-golden.environment.json,4621,90,90,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_jlreq_preset_loose_golden/vertical_jlreq_preset_loose_golden.environment.json,3246,82,82,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_jlreq_preset_loose_golden/vertical_jlreq_preset_loose_golden.imq.json,1924,73,73,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_jlreq_preset_loose_golden/vertical_jlreq_preset_loose_golden.observe.json,892832,29219,29219,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_jlreq_preset_normal_golden/vertical_jlreq_preset_normal_golden.environment.json,3260,82,82,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_jlreq_preset_normal_golden/vertical_jlreq_preset_normal_golden.imq.json,1924,73,73,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_jlreq_preset_normal_golden/vertical_jlreq_preset_normal_golden.observe.json,893072,29219,29219,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_lr_ruby_text_combine_golden/vertical_lr_ruby_text_combine_golden.environment.json,3283,82,82,text,false,false,false,false
