"status","path","owning_crate","file_role","current_bytes","current_physical_lines","current_code_lines","embedded_test_lines","parent_physical_lines","physical_line_delta","structural_warnings"
"M","crates/arcweft-agent-mcp/src/resources.rs","arcweft-agent-mcp","production responsibility module","12316","318","282","0","318","0",""
"M","crates/arcweft-agent-mcp/src/tests.rs","arcweft-agent-mcp","unit test","44314","1237","1175","0","1237","0",""
"M","crates/arcweft-agent-protocol/src/tests.rs","arcweft-agent-protocol","unit test","42783","1213","1169","0","1213","0",""
"M","crates/arcweft-agent-runner/src/tests.rs","arcweft-agent-runner","unit test","75994","2110","1976","0","2110","0",""
"M","crates/arcweft-bundle/src/lib.rs","arcweft-bundle","production facade","72535","2033","1874","620","2017","16","SIZE001;SIZE002;TEST001"
"M","crates/arcweft-bundle/src/resource_codec/view/codec.rs","arcweft-bundle","production responsibility module","68122","1905","1806","0","1871","34","SIZE001"
"M","crates/arcweft-bundle/src/resource_codec/view/model.rs","arcweft-bundle","production responsibility module","76343","2420","2146","42","2358","62","SIZE001;TEST001"
"A","crates/arcweft-bundle/src/standard_view.rs","arcweft-bundle","production responsibility module","11342","308","291","0","0","308",""
"A","crates/arcweft-bundle/tests/standard_dialogue_view.rs","arcweft-bundle","integration test","5338","158","147","0","0","158",""
"M","crates/arcweft-bundle/tests/view_resource_codecs.rs","arcweft-bundle","integration test","33645","908","853","0","900","8",""
"M","crates/arcweft-cli/src/app/agent/native.rs","arcweft-cli","production responsibility module","15748","332","322","0","332","0",""
"M","crates/arcweft-cli/src/app/agent/native/capture.rs","arcweft-cli","production responsibility module","33573","985","945","0","985","0",""
"M","crates/arcweft-cli/src/app/agent/native/observe.rs","arcweft-cli","production responsibility module","48687","1371","1296","0","1371","0","SIZE001"
"M","crates/arcweft-cli/src/app/agent/native/player_observation.rs","arcweft-cli","production responsibility module","35592","1030","987","0","1030","0",""
"M","crates/arcweft-cli/src/app/agent/native/player_observation/capture.rs","arcweft-cli","production responsibility module","11725","292","281","0","297","-5",""
"M","crates/arcweft-cli/src/app/agent/native/prepared_text_observation.rs","arcweft-cli","production responsibility module","40899","1200","1143","0","1185","15",""
"M","crates/arcweft-cli/src/app/agent/native/runtime_observation.rs","arcweft-cli","production responsibility module","25973","646","617","0","646","0",""
"M","crates/arcweft-cli/src/app/agent/native/tests.rs","arcweft-cli","test module","110752","3181","3009","0","3181","0","SIZE001"
"M","crates/arcweft-cli/src/app/bundle_view_layout.rs","arcweft-cli","production responsibility module","10677","330","302","0","316","14",""
"M","crates/arcweft-cli/src/app/bundle_view/lowering.rs","arcweft-cli","production responsibility module","43158","1114","1063","0","1042","72",""
"M","crates/arcweft-cli/src/app/bundle_view/lowering/content.rs","arcweft-cli","production responsibility module","16781","436","417","0","370","66",""
"M","crates/arcweft-cli/src/app/bundle_view/lowering/modifiers.rs","arcweft-cli","production responsibility module","12349","346","327","0","326","20",""
"M","crates/arcweft-cli/src/app/bundle_view/lowering/text_controls.rs","arcweft-cli","production responsibility module","18631","510","469","0","510","0",""
"M","crates/arcweft-cli/src/app/bundle.rs","arcweft-cli","production responsibility module","82799","2317","2196","0","2304","13","SIZE001"
"M","crates/arcweft-cli/src/app/bundle/tests.rs","arcweft-cli","test module","70448","2268","2086","0","2173","95",""
"M","crates/arcweft-cli/src/app/bundle/view_mounts.rs","arcweft-cli","production responsibility module","17287","471","454","0","457","14",""
"M","crates/arcweft-cli/tests/check/agent_observe_native/core.rs","arcweft-cli","integration test","59249","1659","1563","0","1650","9",""
"M","crates/arcweft-cli/tests/check/agent_observe_native/mcp_native_capture.rs","arcweft-cli","integration test","82865","2178","2107","0","2178","0",""
"M","crates/arcweft-cli/tests/check/agent_observe_native/native_samples_effects.rs","arcweft-cli","integration test","214731","5850","5470","0","5850","0","SIZE001"
"M","crates/arcweft-cli/tests/check/agent_observe_native/native_vertical.rs","arcweft-cli","integration test","238454","6613","6152","0","6613","0","SIZE001"
"M","crates/arcweft-cli/tests/check/agent_observe_native/shared.rs","arcweft-cli","integration test","44830","1231","1160","0","1231","0",""
"M","crates/arcweft-cli/tests/check/agent_observe_native/visual_smoke.rs","arcweft-cli","integration test","13478","360","340","0","360","0",""
"M","crates/arcweft-cli/tests/check/agent_script_debug.rs","arcweft-cli","integration test","195821","5249","5034","0","5250","-1","SIZE001"
"M","crates/arcweft-cli/tests/check/cli_runtime_bench.rs","arcweft-cli","integration test / benchmark","255217","7935","7435","0","7948","-13","SIZE001"
